rating,price,touch,quick_charge,gpu,processor_brand,ram,hd,battery,battery_type,brand,charger,display,height,core,storage,expandable,network
4.4,12999,Yes,yes,yes,Unisoc,6.0,Yes,5000.0,other,realme,False,1,1600.0,Octa,64.0,2000.0,4G
4.2,25999,Yes,yes,yes,Exynos,8.0,Yes,6000.0,lithium ion,samsung,False,1,2340.0,Octa,128.0,1000.0,5G
4.4,33999,Yes,yes,yes,Snapdragon,12.0,Yes,5000.0,lithium ion polymer,realme,True,1,2412.0,Octa,256.0,1000.0,5G
4.3,26999,Yes,yes,yes,Snapdragon,12.0,Yes,5100.0,lithium ion polymer,poco,True,1,2712.0,Octa,256.0,1000.0,5G
4.4,29999,Yes,yes,yes,Snapdragon,8.0,Yes,5000.0,lithium ion polymer,realme,True,1,2412.0,Octa,128.0,1000.0,5G
4.4,13999,Yes,yes,yes,Unisoc,6.0,Yes,5000.0,other,realme,False,1,1600.0,Octa,128.0,2000.0,4G
4.4,31999,Yes,yes,yes,Snapdragon,8.0,Yes,5000.0,lithium ion polymer,realme,True,1,2412.0,Octa,256.0,1000.0,5G
4.2,13999,Yes,yes,yes,Mediatek,6.0,Yes,5000.0,lithium polymer,poco,True,1,1650.0,Octa,128.0,1000.0,4G
4.1,12999,Yes,yes,yes,Unisoc,4.0,Yes,5000.0,other,motorola,True,1,2400.0,Octa,128.0,1000.0,4G
4.2,17999,Yes,yes,yes,Mediatek,8.0,Yes,5000.0,lithium polymer,redmi,True,1,1650.0,Octa,256.0,1000.0,5G
4.2,18999,Yes,yes,yes,Snapdragon,8.0,Yes,5000.0,other,motorola,True,1,2400.0,Octa,128.0,1000.0,4G
4.3,14999,Yes,yes,no,Mediatek,6.0,Yes,5000.0,other,realme,False,1,1080.0,Octa,128.0,1000.0,4G
4.2,1899,No,yes,no,unknown,0.024,No,2575.0,other,lava,True,0,160.0,Single,32.0,32.0,2G
4.7,69999,Yes,yes,no,Snapdragon,16.0,Yes,5400.0,other,oneplus,False,1,3168.0,Octa,512.0,1000.0,5G
4.5,89999,Yes,yes,yes,Snapdragon,8.0,Yes,3900.0,other,samsung,False,1,2340.0,Octa,128.0,1000.0,5G
4.4,6999,Yes,yes,no,Unisoc,4.0,No,4000.0,other,itel,True,1,1612.0,Octa,64.0,1000.0,4G
4.1,43999,Yes,yes,no,Google,8.0,Yes,4300.0,other,google,False,1,2400.0,Octa,128.0,1000.0,5G
4.1,10999,Yes,yes,yes,Mediatek,4.0,Yes,5000.0,lithium polymer,redmi,False,1,1650.0,Octa,128.0,1000.0,4G
4.0,1599,No,no,no,unknown,0.032,No,1200.0,li ion,other,True,0,128.0,Single,32.0,32.0,2G
4.2,10999,Yes,yes,yes,Mediatek,4.0,Yes,5000.0,lithium polymer,redmi,False,1,1600.0,Octa,64.0,1000.0,4G
4.1,1350,No,yes,yes,unknown,0.032,No,850.0,li ion,kechaoda,False,0,320.0,Single,32.0,32.0,2G
4.5,89999,Yes,yes,yes,Snapdragon,8.0,Yes,3900.0,other,samsung,False,1,2340.0,Octa,128.0,1000.0,5G
4.2,12999,Yes,yes,no,Spreadtrum,6.0,Yes,5000.0,other,realme,False,1,2400.0,Octa,128.0,1000.0,4G
4.0,2199,No,yes,no,unknown,0.512,No,1050.0,li ion,other,True,0,120.0,Single,256.0,8.0,2G
3.8,1599,No,no,no,unknown,0.032,No,800.0,li ion,kechaoda,True,0,128.0,Single,16.0,0.032,2G
4.3,33999,Yes,yes,yes,Exynos,8.0,Yes,5000.0,lithium ion,samsung,False,1,2340.0,Octa,128.0,1000.0,5G
4.1,1499,No,yes,no,unknown,0.032,No,800.0,other,lava,True,0,128.0,Single,0.0,32.0,2G
3.7,5299,No,no,no,unknown,0.046875,No,1450.0,lithium ion,nokia,True,0,240.0,Single,0.125,32.0,4G
4.2,14999,Yes,yes,no,Mediatek,4.0,Yes,6000.0,other,infinix,False,1,2460.0,Octa,128.0,1000.0,5G
3.7,1549,No,no,no,unknown,0.032,No,800.0,li ion,micromax,True,0,128.0,Single,32.0,32.0,2G
3.9,1999,No,no,no,unknown,0.032,No,400.0,li ion,kechaoda,False,0,240.0,Single,32.0,32.0,2G
3.7,3799,No,no,no,unknown,0.064,No,1150.0,other,nokia,True,0,320.0,Single,128.0,32.0,4G
4.0,12999,Yes,yes,no,Snapdragon,8.0,Yes,5000.0,other,itel,True,1,1612.0,Octa,128.0,1000.0,4G
3.8,10999,Yes,yes,no,Unisoc,4.0,Yes,6000.0,other,itel,True,1,1612.0,Octa,128.0,1000.0,4G
4.0,5899,No,no,no,unknown,0.046875,No,1450.0,other,nokia,True,0,320.0,Single,0.125,32.0,4G
4.3,33999,Yes,yes,yes,Exynos,8.0,Yes,5000.0,lithium ion,samsung,False,1,2340.0,Octa,128.0,1000.0,5G
4.4,19990,Yes,yes,yes,Snapdragon,4.0,Yes,5000.0,other,vivo,False,1,2400.0,Octa,128.0,1000.0,4G
4.1,2999,No,no,no,unknown,0.032,No,1000.0,li ion,snexian,True,0,320.0,Single,32.0,16.0,2G
3.7,5299,No,no,no,unknown,0.046875,No,1450.0,lithium ion,nokia,True,0,240.0,Single,0.125,32.0,4G
4.6,44999,Yes,yes,no,Snapdragon,12.0,Yes,5160.0,other,iqoo,False,1,1260.0,Octa,256.0,1000.0,5G
4.6,44999,Yes,yes,no,Snapdragon,12.0,Yes,5160.0,other,iqoo,False,1,1260.0,Octa,256.0,1000.0,5G
4.2,13999,Yes,yes,yes,Mediatek,6.0,Yes,5000.0,lithium polymer,redmi,True,1,1650.0,Octa,128.0,1000.0,4G
4.0,1549,No,no,no,unknown,0.004,No,800.0,other,motorola,True,0,240.0,Single,32.0,32.0,2G
4.1,43999,Yes,yes,no,Google,8.0,Yes,4300.0,other,google,False,1,2400.0,Octa,128.0,1000.0,5G
4.3,17999,Yes,yes,yes,Mediatek,6.0,Yes,5000.0,other,poco,False,1,2400.0,Octa,64.0,1000.0,4G
4.0,1899,No,yes,no,unknown,0.032,No,3000.0,li ion,itel,True,0,240.0,Single,32.0,32.0,2G
3.4,1499,No,no,no,unknown,0.032,No,800.0,other,other,True,0,128.0,Single,2.0,32.0,2G
4.5,25999,Yes,yes,yes,Snapdragon,8.0,Yes,5000.0,other,motorola,True,1,2400.0,Octa,128.0,1000.0,5G
4.5,41999,Yes,yes,no,Snapdragon,8.0,Yes,5160.0,other,iqoo,False,1,1260.0,Octa,256.0,1000.0,5G
3.8,1999,No,no,no,unknown,0.032,No,2500.0,li ion,kechaoda,True,0,240.0,Single,64.0,32.0,2G
4.3,19999,Yes,yes,no,Snapdragon,8.0,Yes,6000.0,other,iqoo,False,1,2408.0,Octa,128.0,1000.0,5G
